person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
Constable Darius Quimby,"Albany County Constable's Office, NY","EOW: Monday, January 3, 1791",Cause of Death: Gunfire,Gunfire,1791-01-03,1791,FALSE,Albany County Constable's Office, NY
Sheriff Cornelius Hogeboom,"Columbia County Sheriff's Office, NY","EOW: Saturday, October 22, 1791",Cause of Death: Gunfire,Gunfire,1791-10-22,1791,FALSE,Columbia County Sheriff's Office, NY
Deputy Sheriff Isaac Smith,"Westchester County Sheriff's Department, NY","EOW: Thursday, May 17, 1792",Cause of Death: Gunfire,Gunfire,1792-05-17,1792,FALSE,Westchester County Sheriff's Department, NY
Marshal Robert Forsyth,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, January 11, 1794",Cause of Death: Gunfire,Gunfire,1794-01-11,1794,FALSE,United States Department of Justice - United States Marshals Service, US
Sheriff Robert Maxwell,"Greenville County Sheriff's Office, SC","EOW: Sunday, November 12, 1797",Cause of Death: Gunfire,Gunfire,1797-11-12,1797,FALSE,Greenville County Sheriff's Office, SC
High Sheriff John Caldwell Cook,"Mecklenburg County Sheriff's Office, NC","EOW: Tuesday, October 16, 1804",Cause of Death: Gunfire,Gunfire,1804-10-16,1804,FALSE,Mecklenburg County Sheriff's Office, NC
Watchman Christian Luswanger,"New York City Watch, NY","EOW: Thursday, December 25, 1806",Cause of Death: Stabbed,Stabbed,1806-12-25,1806,FALSE,New York City Watch, NY
Deputy Sheriff John A. Gooch,"Livingston County Sheriff's Department, KY","EOW: Saturday, March 7, 1807",Cause of Death: Gunfire,Gunfire,1807-03-07,1807,FALSE,Livingston County Sheriff's Department, KY
Deputy Sheriff Ebenezer Parker,"Cumberland County Sheriff's Office, ME","EOW: Monday, January 18, 1808",Cause of Death: Assault,Assault,1808-01-18,1808,FALSE,Cumberland County Sheriff's Office, ME
Night Watchman George Workner,"Baltimore City Police Department, MD","EOW: Tuesday, March 15, 1808",Cause of Death: Stabbed,Stabbed,1808-03-15,1808,FALSE,Baltimore City Police Department, MD
Boatman Asa Marsh,"United States Department of the Treasury - Customs Service, US","EOW: Wednesday, August 3, 1808",Cause of Death: Gunfire,Gunfire,1808-08-03,1808,FALSE,United States Department of the Treasury - Customs Service, US
Boatman Ellis Drake,"United States Department of the Treasury - Customs Service, US","EOW: Wednesday, August 3, 1808",Cause of Death: Gunfire,Gunfire,1808-08-03,1808,FALSE,United States Department of the Treasury - Customs Service, US
Custom House Officer Daniel Miller,"United States Department of the Treasury - Customs Service, US","EOW: Monday, January 1, 1810",Cause of Death: Gunfire,Gunfire,1810-01-01,1810,FALSE,United States Department of the Treasury - Customs Service, US
Deputy Sheriff John Tileston Downes,"Hancock County Sheriff's Department, ME","EOW: Monday, January 28, 1811",Cause of Death: Gunfire,Gunfire,1811-01-28,1811,FALSE,Hancock County Sheriff's Department, ME
